ob,station,precip
2010-01-17 03:00:00,LAKE,1.27
2010-01-17 04:00:00,LAKE,3.302
2010-01-17 05:00:00,LAKE,5.08
2010-01-17 06:00:00,LAKE,5.334
2010-01-17 07:00:00,LAKE,9.144
2010-01-17 08:00:00,LAKE,1.778
2010-01-17 09:00:00,LAKE,1.016
2010-01-17 13:47:00,LAKE,1.778
2010-01-17 13:48:00,LAKE,1.27
2010-01-17 14:00:00,LAKE,3.81
2010-01-17 17:00:00,LAKE,2.54
2010-01-17 18:00:00,LAKE,2.032
2010-01-21 14:00:00,LAKE,1.016
2010-01-21 15:00:00,LAKE,2.032
2010-01-21 16:00:00,LAKE,2.032
2010-01-21 17:00:00,LAKE,1.016
2010-01-21 19:00:00,LAKE,3.048
2010-01-21 20:00:00,LAKE,4.064
2010-01-21 21:00:00,LAKE,4.826
2010-01-21 22:00:00,LAKE,3.556
2010-01-21 23:00:00,LAKE,2.286
2010-01-24 19:00:00,LAKE,1.778
2010-01-25 02:00:00,LAKE,1.524
2010-01-25 03:00:00,LAKE,2.54
2010-01-25 03:32:00,LAKE,0.762
2010-01-25 03:35:00,LAKE,0.762
2010-01-25 03:38:00,LAKE,0.762
2010-01-25 03:41:00,LAKE,0.762
2010-01-25 03:42:00,LAKE,0.762
2010-01-25 03:44:00,LAKE,0.762
2010-01-25 03:48:00,LAKE,1.016
2010-01-25 03:49:00,LAKE,1.524
2010-01-25 03:50:00,LAKE,1.016
2010-01-25 03:51:00,LAKE,1.016
2010-01-25 04:00:00,LAKE,20.828
2010-01-31 13:00:00,LAKE,3.556
2010-01-31 14:00:00,LAKE,2.54
2010-01-31 15:00:00,LAKE,0.762
2010-02-02 13:00:00,LAKE,1.016
2010-02-02 23:00:00,LAKE,0.762
2010-02-03 00:00:00,LAKE,0.762
2010-02-05 09:00:00,LAKE,0.762
2010-02-05 10:00:00,LAKE,0.762
2010-02-05 11:00:00,LAKE,1.27
2010-02-05 12:00:00,LAKE,2.032
2010-02-05 13:00:00,LAKE,3.048
2010-02-05 14:00:00,LAKE,3.302
2010-02-05 15:00:00,LAKE,4.064
2010-02-05 16:00:00,LAKE,3.81
2010-02-05 17:00:00,LAKE,3.556
2010-02-05 18:00:00,LAKE,3.556
2010-02-05 19:00:00,LAKE,5.588
2010-02-05 20:00:00,LAKE,2.032
2010-02-05 21:00:00,LAKE,4.826
2010-02-05 22:00:00,LAKE,4.318
2010-02-09 15:00:00,LAKE,2.032
2010-02-09 16:00:00,LAKE,3.81
2010-02-13 14:00:00,LAKE,2.032
2010-02-13 15:00:00,LAKE,1.016
2010-02-22 12:00:00,LAKE,2.032
2010-02-22 13:00:00,LAKE,2.286
2010-02-22 14:00:00,LAKE,1.016
2010-03-02 15:00:00,LAKE,1.524
2010-03-02 22:00:00,LAKE,1.27
2010-03-02 23:00:00,LAKE,1.016
2010-03-03 05:00:00,LAKE,2.032
2010-03-03 06:00:00,LAKE,1.778
2010-03-03 07:00:00,LAKE,1.27
2010-03-10 22:00:00,LAKE,0.762
2010-03-11 00:00:00,LAKE,2.032
2010-03-11 16:00:00,LAKE,0.762
2010-03-11 16:22:00,LAKE,1.016
2010-03-11 16:23:00,LAKE,1.016
2010-03-11 16:24:00,LAKE,0.762
2010-03-11 16:25:00,LAKE,1.016
2010-03-11 16:26:00,LAKE,0.762
2010-03-11 16:27:00,LAKE,1.016
2010-03-11 16:28:00,LAKE,0.762
2010-03-11 16:29:00,LAKE,1.016
2010-03-11 16:30:00,LAKE,0.762
2010-03-11 17:00:00,LAKE,13.208
2010-03-11 18:00:00,LAKE,0.762
2010-03-13 01:00:00,LAKE,6.096
2010-03-13 02:00:00,LAKE,5.334
2010-03-13 03:00:00,LAKE,2.54
2010-03-26 03:00:00,LAKE,1.27
2010-03-28 23:00:00,LAKE,1.524
2010-03-29 01:09:00,LAKE,1.27
2010-03-29 02:00:00,LAKE,6.604
2010-03-29 03:00:00,LAKE,11.176
2010-03-29 04:00:00,LAKE,4.064
2010-03-29 05:00:00,LAKE,2.032
2010-03-29 06:00:00,LAKE,1.524
2010-04-08 20:49:00,LAKE,1.27
2010-04-08 20:50:00,LAKE,0.762
2010-04-08 21:00:00,LAKE,2.794
2010-04-08 23:00:00,LAKE,7.366
2010-04-09 00:00:00,LAKE,6.35
2010-04-09 00:05:00,LAKE,1.016
2010-04-09 00:06:00,LAKE,1.016
2010-04-09 01:00:00,LAKE,6.35
2010-04-09 03:00:00,LAKE,1.27
2010-04-21 16:00:00,LAKE,2.286
2010-04-21 16:00:00,LAKE,0.762
2010-04-21 16:01:00,LAKE,0.762
2010-04-21 17:00:00,LAKE,3.302
2010-04-24 22:00:00,LAKE,0.762
2010-04-25 00:00:00,LAKE,0.762
2010-04-25 01:00:00,LAKE,3.048
2010-04-25 02:00:00,LAKE,1.778
2010-04-25 03:00:00,LAKE,1.524
2010-05-03 11:00:00,LAKE,0.762
2010-05-16 16:25:00,LAKE,0.762
2010-05-16 16:26:00,LAKE,0.762
2010-05-16 16:27:00,LAKE,0.762
2010-05-16 17:00:00,LAKE,5.334
2010-05-16 21:00:00,LAKE,2.032
2010-05-17 02:00:00,LAKE,2.286
2010-05-17 04:00:00,LAKE,1.016
2010-05-17 05:00:00,LAKE,2.286
2010-05-17 16:00:00,LAKE,5.588
2010-05-17 18:00:00,LAKE,2.54
2010-05-17 19:00:00,LAKE,3.048
2010-05-17 20:00:00,LAKE,1.524
2010-05-17 21:00:00,LAKE,1.016
2010-05-17 22:00:00,LAKE,1.016
2010-05-17 23:00:00,LAKE,0.762
2010-05-18 00:00:00,LAKE,10.16
2010-05-18 01:00:00,LAKE,0.762
2010-05-18 04:00:00,LAKE,0.762
2010-05-18 05:00:00,LAKE,1.778
2010-05-19 00:00:00,LAKE,0.762
2010-05-19 01:00:00,LAKE,1.524
2010-05-19 01:20:00,LAKE,0.762
2010-05-19 02:00:00,LAKE,8.128
2010-05-19 03:00:00,LAKE,4.064
2010-05-19 03:32:00,LAKE,1.016
2010-05-19 04:00:00,LAKE,3.556
2010-05-22 18:00:00,LAKE,3.556
2010-05-23 07:59:00,LAKE,1.016
2010-05-23 08:00:00,LAKE,2.54
2010-05-23 08:00:00,LAKE,1.016
2010-05-23 08:01:00,LAKE,0.762
2010-05-23 09:00:00,LAKE,8.128
2010-05-23 14:18:00,LAKE,1.016
2010-05-23 14:19:00,LAKE,1.016
2010-05-23 14:20:00,LAKE,0.762
2010-05-23 15:00:00,LAKE,5.588
2010-05-24 03:00:00,LAKE,0.762
2010-05-24 13:00:00,LAKE,0.762
2010-05-28 20:59:00,LAKE,1.016
2010-05-28 21:00:00,LAKE,2.286
2010-05-28 21:00:00,LAKE,1.27
2010-05-28 21:01:00,LAKE,1.016
2010-05-28 21:02:00,LAKE,0.762
2010-05-28 21:03:00,LAKE,0.762
2010-05-28 21:04:00,LAKE,1.016
2010-05-28 21:05:00,LAKE,1.27
2010-05-28 21:06:00,LAKE,1.778
2010-05-28 21:07:00,LAKE,1.27
2010-05-28 21:08:00,LAKE,1.524
2010-05-28 21:09:00,LAKE,1.27
2010-05-28 21:10:00,LAKE,1.524
2010-05-28 21:11:00,LAKE,1.27
2010-05-28 21:13:00,LAKE,0.762
2010-05-28 21:15:00,LAKE,1.016
2010-05-28 21:16:00,LAKE,1.016
2010-05-28 21:17:00,LAKE,1.524
2010-05-28 21:18:00,LAKE,3.048
2010-05-28 21:19:00,LAKE,3.048
2010-05-28 21:20:00,LAKE,3.048
2010-05-28 21:21:00,LAKE,3.556
2010-05-28 21:22:00,LAKE,3.048
2010-05-28 21:23:00,LAKE,2.794
2010-05-28 21:24:00,LAKE,2.032
2010-05-28 21:25:00,LAKE,1.524
2010-05-28 21:26:00,LAKE,1.27
2010-05-28 21:27:00,LAKE,1.016
2010-05-28 21:28:00,LAKE,0.762
2010-05-28 22:00:00,LAKE,48.514
2010-05-28 23:00:00,LAKE,2.54
2010-05-29 00:00:00,LAKE,1.524
2010-05-29 01:00:00,LAKE,0.762
2010-06-01 04:17:00,LAKE,1.016
2010-06-01 05:00:00,LAKE,4.572
2010-06-01 07:00:00,LAKE,3.81
2010-06-01 07:44:00,LAKE,0.762
2010-06-01 08:00:00,LAKE,8.89
2010-06-01 09:00:00,LAKE,1.778
2010-06-01 14:43:00,LAKE,1.016
2010-06-01 14:44:00,LAKE,0.762
2010-06-01 14:49:00,LAKE,1.016
2010-06-01 14:50:00,LAKE,1.016
2010-06-01 14:51:00,LAKE,1.27
2010-06-01 14:52:00,LAKE,1.27
2010-06-01 14:53:00,LAKE,1.27
2010-06-01 14:54:00,LAKE,1.27
2010-06-01 15:00:00,LAKE,13.208
2010-06-02 15:16:00,LAKE,0.762
2010-06-02 15:17:00,LAKE,1.016
2010-06-02 15:19:00,LAKE,0.762
2010-06-02 15:20:00,LAKE,0.762
2010-06-02 16:00:00,LAKE,9.652
2010-06-06 21:24:00,LAKE,0.762
2010-06-06 21:25:00,LAKE,1.27
2010-06-06 21:26:00,LAKE,1.016
2010-06-06 21:27:00,LAKE,1.016
2010-06-06 21:31:00,LAKE,1.016
2010-06-06 21:32:00,LAKE,1.016
2010-06-06 21:33:00,LAKE,1.016
2010-06-06 21:34:00,LAKE,0.762
2010-06-06 22:00:00,LAKE,11.938
2010-06-13 01:39:00,LAKE,1.016
2010-06-13 01:40:00,LAKE,1.016
2010-06-13 01:41:00,LAKE,0.762
2010-06-13 01:42:00,LAKE,1.016
2010-06-13 01:43:00,LAKE,0.762
2010-06-13 01:44:00,LAKE,0.762
2010-06-13 01:45:00,LAKE,0.762
2010-06-13 01:47:00,LAKE,0.762
2010-06-13 02:00:00,LAKE,10.668
2010-06-13 03:00:00,LAKE,1.27
2010-06-22 17:00:00,LAKE,0.762
2010-06-23 14:45:00,LAKE,0.762
2010-06-23 14:46:00,LAKE,1.016
2010-06-23 14:47:00,LAKE,1.778
2010-06-23 14:48:00,LAKE,0.762
2010-06-23 15:00:00,LAKE,4.826
2010-06-23 16:00:00,LAKE,0.762
2010-06-29 18:00:00,LAKE,1.016
2010-07-16 19:00:00,LAKE,1.27
2010-07-16 19:39:00,LAKE,0.762
2010-07-16 19:40:00,LAKE,0.762
2010-07-16 19:41:00,LAKE,0.762
2010-07-16 19:45:00,LAKE,1.016
2010-07-16 20:00:00,LAKE,7.112
2010-07-17 15:00:00,LAKE,1.27
2010-07-17 16:00:00,LAKE,5.08
2010-07-17 17:00:00,LAKE,1.27
2010-07-17 18:00:00,LAKE,1.016
2010-07-27 12:00:00,LAKE,1.778
2010-07-27 13:00:00,LAKE,4.572
2010-07-27 14:00:00,LAKE,2.54
2010-07-27 15:00:00,LAKE,1.27
2010-07-29 21:51:00,LAKE,1.016
2010-07-29 21:52:00,LAKE,0.762
2010-07-29 21:53:00,LAKE,0.762
2010-07-29 21:54:00,LAKE,2.54
2010-07-29 21:55:00,LAKE,2.54
2010-07-29 21:56:00,LAKE,2.286
2010-07-29 21:57:00,LAKE,2.032
2010-07-29 21:58:00,LAKE,2.286
2010-07-29 21:59:00,LAKE,2.794
2010-07-29 22:00:00,LAKE,17.018
2010-07-29 22:00:00,LAKE,1.524
2010-07-29 22:01:00,LAKE,1.27
2010-07-29 22:02:00,LAKE,1.27
2010-07-29 22:04:00,LAKE,0.762
2010-07-29 23:00:00,LAKE,5.334
2010-08-01 05:00:00,LAKE,1.524
2010-08-01 07:00:00,LAKE,1.524
2010-08-05 00:55:00,LAKE,0.762
2010-08-05 00:56:00,LAKE,0.762
2010-08-05 00:57:00,LAKE,0.762
2010-08-05 00:58:00,LAKE,0.762
2010-08-05 00:59:00,LAKE,0.762
2010-08-05 01:00:00,LAKE,7.366
2010-08-05 02:00:00,LAKE,6.35
2010-08-05 18:41:00,LAKE,1.016
2010-08-05 18:42:00,LAKE,1.016
2010-08-05 18:43:00,LAKE,0.762
2010-08-05 18:44:00,LAKE,0.762
2010-08-05 18:45:00,LAKE,1.016
2010-08-05 18:46:00,LAKE,0.762
2010-08-05 18:47:00,LAKE,0.762
2010-08-05 19:00:00,LAKE,10.16
2010-08-05 19:02:00,LAKE,0.762
2010-08-05 19:03:00,LAKE,1.016
2010-08-05 19:04:00,LAKE,0.762
2010-08-05 20:00:00,LAKE,6.604
2010-08-05 21:00:00,LAKE,1.016
2010-08-12 01:00:00,LAKE,1.778
2010-08-18 16:00:00,LAKE,2.032
2010-08-18 18:14:00,LAKE,0.762
2010-08-18 18:15:00,LAKE,0.762
2010-08-18 19:00:00,LAKE,5.588
2010-08-19 22:50:00,LAKE,0.762
2010-08-19 23:00:00,LAKE,3.556
2010-08-20 00:25:00,LAKE,0.762
2010-08-20 01:00:00,LAKE,6.096
2010-08-20 02:00:00,LAKE,6.35
2010-08-22 13:28:00,LAKE,0.762
2010-08-22 13:31:00,LAKE,0.762
2010-08-22 13:38:00,LAKE,0.762
2010-08-22 13:39:00,LAKE,1.016
2010-08-22 13:40:00,LAKE,0.762
2010-08-22 13:41:00,LAKE,0.762
2010-08-22 13:42:00,LAKE,0.762
2010-08-22 13:44:00,LAKE,1.016
2010-08-22 13:45:00,LAKE,1.016
2010-08-22 13:46:00,LAKE,1.016
2010-08-22 13:47:00,LAKE,1.016
2010-08-22 13:48:00,LAKE,0.762
2010-08-22 14:00:00,LAKE,16.002
2010-08-23 17:00:00,LAKE,0.762
2010-08-24 04:00:00,LAKE,1.016
2010-08-24 05:00:00,LAKE,4.826
2010-08-24 06:00:00,LAKE,2.794
2010-08-24 06:41:00,LAKE,0.762
2010-08-24 06:42:00,LAKE,0.762
2010-08-24 06:43:00,LAKE,1.27
2010-08-24 06:44:00,LAKE,1.016
2010-08-24 06:45:00,LAKE,1.27
2010-08-24 06:46:00,LAKE,1.27
2010-08-24 06:47:00,LAKE,0.762
2010-08-24 06:48:00,LAKE,1.016
2010-08-24 06:49:00,LAKE,1.016
2010-08-24 06:50:00,LAKE,1.27
2010-08-24 06:51:00,LAKE,1.27
2010-08-24 06:52:00,LAKE,1.27
2010-08-24 06:53:00,LAKE,1.016
2010-08-24 06:54:00,LAKE,0.762
2010-08-24 06:56:00,LAKE,1.27
2010-08-24 06:57:00,LAKE,1.016
2010-08-24 06:58:00,LAKE,0.762
2010-08-24 06:59:00,LAKE,0.762
2010-08-24 07:00:00,LAKE,21.336
2010-08-24 07:00:00,LAKE,0.762
2010-08-24 07:01:00,LAKE,0.762
2010-08-24 07:02:00,LAKE,0.762
2010-08-24 07:03:00,LAKE,0.762
2010-08-24 08:00:00,LAKE,12.954
2010-08-24 09:00:00,LAKE,1.27
2010-08-24 20:03:00,LAKE,1.016
2010-08-24 20:04:00,LAKE,0.762
2010-08-24 20:05:00,LAKE,1.016
2010-08-24 20:06:00,LAKE,1.524
2010-08-24 20:07:00,LAKE,1.27
2010-08-24 20:08:00,LAKE,1.016
2010-08-24 20:09:00,LAKE,0.762
2010-08-24 20:20:00,LAKE,0.762
2010-08-24 20:25:00,LAKE,0.762
2010-08-24 20:27:00,LAKE,1.016
2010-08-24 20:28:00,LAKE,1.016
2010-08-24 20:29:00,LAKE,0.762
2010-08-24 20:46:00,LAKE,0.762
2010-08-24 20:47:00,LAKE,0.762
2010-08-24 20:48:00,LAKE,1.016
2010-08-24 20:49:00,LAKE,0.762
2010-08-24 20:50:00,LAKE,1.016
2010-08-24 20:51:00,LAKE,0.762
2010-08-24 20:52:00,LAKE,0.762
2010-08-24 20:53:00,LAKE,0.762
2010-08-24 20:54:00,LAKE,0.762
2010-08-24 20:55:00,LAKE,0.762
2010-08-24 20:56:00,LAKE,0.762
2010-08-24 20:57:00,LAKE,0.762
2010-08-24 20:58:00,LAKE,1.016
2010-08-24 20:59:00,LAKE,0.762
2010-08-24 21:00:00,LAKE,34.798
2010-08-24 21:00:00,LAKE,0.762
2010-08-24 21:01:00,LAKE,0.762
2010-08-24 21:02:00,LAKE,0.762
2010-08-24 21:03:00,LAKE,0.762
2010-08-24 22:00:00,LAKE,6.858
2010-08-25 01:00:00,LAKE,0.762
2010-09-12 04:00:00,LAKE,1.016
2010-09-26 15:29:00,LAKE,0.762
2010-09-26 15:34:00,LAKE,0.762
2010-09-26 15:38:00,LAKE,0.762
2010-09-26 16:00:00,LAKE,8.89
2010-09-26 17:00:00,LAKE,1.778
2010-09-26 18:00:00,LAKE,1.524
2010-09-26 19:00:00,LAKE,4.064
2010-09-26 19:48:00,LAKE,1.016
2010-09-26 20:00:00,LAKE,5.588
2010-09-26 21:00:00,LAKE,3.302
2010-09-26 22:00:00,LAKE,7.112
2010-09-26 23:00:00,LAKE,4.064
2010-09-27 00:00:00,LAKE,1.27
2010-09-27 01:00:00,LAKE,0.762
2010-09-27 02:00:00,LAKE,1.016
2010-09-27 06:00:00,LAKE,0.762
2010-09-27 07:00:00,LAKE,6.096
2010-09-27 08:00:00,LAKE,2.794
2010-09-27 09:00:00,LAKE,1.524
2010-09-27 10:00:00,LAKE,1.778
2010-09-27 13:00:00,LAKE,2.032
2010-09-27 14:00:00,LAKE,2.032
2010-09-27 15:00:00,LAKE,2.032
2010-09-27 16:00:00,LAKE,0.762
2010-09-27 17:00:00,LAKE,2.286
2010-09-28 02:00:00,LAKE,1.27
2010-09-29 04:00:00,LAKE,2.032
2010-09-29 05:00:00,LAKE,4.826
2010-09-29 06:00:00,LAKE,1.016
2010-09-29 08:00:00,LAKE,0.762
2010-09-29 14:00:00,LAKE,3.556
2010-09-29 15:00:00,LAKE,9.652
2010-09-29 16:00:00,LAKE,3.302
2010-09-29 17:00:00,LAKE,2.032
2010-09-29 18:00:00,LAKE,1.524
2010-09-29 19:00:00,LAKE,2.794
2010-09-29 20:00:00,LAKE,2.032
2010-09-29 21:00:00,LAKE,2.286
2010-09-29 22:00:00,LAKE,2.032
2010-09-29 23:00:00,LAKE,5.588
2010-09-30 00:00:00,LAKE,2.54
2010-09-30 01:00:00,LAKE,4.064
2010-09-30 02:00:00,LAKE,1.778
2010-09-30 03:00:00,LAKE,4.572
2010-09-30 03:23:00,LAKE,0.762
2010-09-30 04:00:00,LAKE,6.096
2010-09-30 05:00:00,LAKE,11.176
2010-09-30 05:20:00,LAKE,0.762
2010-09-30 05:22:00,LAKE,0.762
2010-09-30 06:00:00,LAKE,10.922
2010-09-30 07:00:00,LAKE,1.27
2010-10-14 08:37:00,LAKE,0.762
2010-10-14 08:43:00,LAKE,0.762
2010-10-14 09:00:00,LAKE,7.112
2010-10-14 10:00:00,LAKE,5.08
2010-10-20 13:00:00,LAKE,0.762
2010-10-25 14:00:00,LAKE,1.016
2010-10-26 04:31:00,LAKE,0.762
2010-10-26 04:32:00,LAKE,0.762
2010-10-26 05:00:00,LAKE,4.064
2010-10-28 00:00:00,LAKE,0.762
2010-11-04 09:00:00,LAKE,0.762
2010-11-04 11:00:00,LAKE,2.54
2010-11-04 12:00:00,LAKE,4.318
2010-11-04 13:00:00,LAKE,1.524
2010-11-04 14:00:00,LAKE,1.016
2010-11-06 12:00:00,LAKE,0.762
2010-11-16 11:00:00,LAKE,0.762
2010-11-16 12:00:00,LAKE,1.016
2010-11-17 01:00:00,LAKE,3.302
2010-12-01 05:00:00,LAKE,1.778
2010-12-05 12:00:00,LAKE,3.048
2010-12-11 14:00:00,LAKE,0.762
2010-12-11 15:00:00,LAKE,0.762
2010-12-11 16:00:00,LAKE,0.762
2010-12-12 11:00:00,LAKE,2.032
2010-12-12 12:00:00,LAKE,2.54
2010-12-12 13:00:00,LAKE,1.778
2010-12-12 17:00:00,LAKE,1.27
2010-12-16 11:00:00,LAKE,1.27
2010-12-16 12:00:00,LAKE,1.524
2010-12-16 13:00:00,LAKE,0.762
2010-12-16 14:00:00,LAKE,0.762
2010-12-16 15:00:00,LAKE,1.016
2010-12-16 16:00:00,LAKE,0.762
2010-12-16 19:00:00,LAKE,0.762
2010-12-16 20:00:00,LAKE,1.016
2010-12-16 21:00:00,LAKE,1.778
2010-12-16 22:00:00,LAKE,2.032
2010-12-16 23:00:00,LAKE,2.286
2010-12-17 00:00:00,LAKE,1.27
2010-12-17 01:00:00,LAKE,1.524
